ucid,content_pretty_name,content_kind,difficulty,subject,learning_stage,level1_id,level2_id,level3_id,level4_id
yHgHyIJ05U7s8Ak1XnUHY08MP++zF14JXnyie5AL5s0=,【進階】怎樣解題：數量關係,Exercise,hard,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,bo3jsx1beVLEZ+2sckxdZNYnlLpVS7hb5lWU2baQ66k=,KPJMQebU0O24+NzlQ4udb2BXLlKV1Hte61+hV5Xb+oU=
EoxaKgXtsgVLpnw8d6TdnsnnqzM2gEb+mHUwkOsZGpU=,簡化與歸納問題：綜合,Exercise,unset,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,bo3jsx1beVLEZ+2sckxdZNYnlLpVS7hb5lWU2baQ66k=,FWwCtT6CaQnR3jY9/6uJJichtmQ1AzIYV7dvYRn63no=
CspTRnYx/rdKxnW0RuyjMXwx1vrcR55tQZDzjzV5mRc=,【一般】怎樣解題：數量關係,Exercise,normal,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,bo3jsx1beVLEZ+2sckxdZNYnlLpVS7hb5lWU2baQ66k=,KPJMQebU0O24+NzlQ4udb2BXLlKV1Hte61+hV5Xb+oU=
u5SYmgbMwMzEurXJkN8SzYMacAqwjR02xCA0/prnVeI=,【一般】和差問題 2,Exercise,normal,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,bo3jsx1beVLEZ+2sckxdZNYnlLpVS7hb5lWU2baQ66k=,KPJMQebU0O24+NzlQ4udb2BXLlKV1Hte61+hV5Xb+oU=
T4f/arzfSalcvrX0iElU649bu8yFkRYxheJCrrNEkLQ=,【一般】雞兔問題 2,Exercise,normal,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,bo3jsx1beVLEZ+2sckxdZNYnlLpVS7hb5lWU2baQ66k=,KPJMQebU0O24+NzlQ4udb2BXLlKV1Hte61+hV5Xb+oU=
kSGW7jiMb919zyekSOS3O3twBsFg+jh/QoZTlNlm2xU=,【一般】年齡問題 2,Exercise,normal,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,bo3jsx1beVLEZ+2sckxdZNYnlLpVS7hb5lWU2baQ66k=,KPJMQebU0O24+NzlQ4udb2BXLlKV1Hte61+hV5Xb+oU=
AftCWTe9HWCQtI7qOgUITUl2eWnLhe6p09IHSLTFB2o=,【基礎】列式並解題：x+a=b,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,J7h/J2DAyPA0bQF0yKIT3xSLnNWYeu5zj9dAlyH7Wi0=
cYgMGBbf7LdGQPgpluIyEfy/nofh1pO0STOjHrLThpc=,【基礎】加與除的兩步驟問題,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,5IoPxwjdrLU8uqRpL1O93XHYQ3UDaj4xuPhV7bmx1ac=
h3/qpdMuhf5rZwqcHX//oZtCPV6xOKgXZyeHSGnWAsA=,【基礎】減與除的兩步驟問題,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,5IoPxwjdrLU8uqRpL1O93XHYQ3UDaj4xuPhV7bmx1ac=
qTFR2TIte0fD2b2N9J1h/QspauQCDlkyzaanvg5SsNc=,【基礎】連乘的兩步驟問題,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,+0nvuJnCA9OBBjgmRoBVmQh5y1Sq06vj0sVVpLppNC8=
i63OzZpTkqfe5ND+D9DAeVXqzKrB/7OasjU2PnkdHfs=,【基礎】乘除的兩步驟問題,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,+0nvuJnCA9OBBjgmRoBVmQh5y1Sq06vj0sVVpLppNC8=
b6cw1Qxc9pcHLkL8JmxW99AJEkZtsztt9ZvSboO7usA=,【基礎】兩步驟計算規則綜合習題,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=
tUeUQK4V+TthlYOfXGU45TfMrMvMlcmhUaMf6Sy4WxQ=,【基礎】加減混合計算的簡化,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=
JZfQaPLUEZBed+XMOOWufLndpgukChiiKsqH/d+cxlI=,【基礎】四則計算：先乘除後加減,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=
dIoqlJEhZ/uEUpnudTQ+Ve8Uw1oiqSMobNqXb2YQfcs=,【基礎】只有加減或乘除的計算：有括號,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=
VkqQZJ473iP+Q3cuRr/ss9TxWBXBIsPwC0fwGbVIgjU=,【基礎】連乘計算：含有括號,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=
LCz/rIBPDjV+9tcB8P8On0xwPups1k9t8fcMBsc7rRs=,【基礎】連除計算：含有括號,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=
pAUvW4XKSYhg1jlJZSgI+zcE64Vc1ZTK8rqKzNKk0+Q=,【基礎】有括號的四則計算,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=
PIoM9UkR72BGOOCJwBMgzPXrR5EHZiv8SzfvVFsNlxk=,【基礎】連加計算的簡化,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=
EedOkesRVDnFwtBDegS+2DXjAMOSPgOvhPbGLmqAjcc=,【基礎】只有加減或乘除的計算：無括號,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=
h6xIB8Vz3g7+BOulVtddhzDp6mlqvqglH70sh8SfyOA=,【基礎】連乘計算的簡化,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oJG/wS64igqXR4IZF4VVKeWCMXGQyEuvMRpLuuC9FuI=
7fbJaPJmoN2eKJr5ET2A4DTPY+IMpCxnc/1KKVl828E=,【基礎】兩步驟問題併式：連加、連減、加減綜合習題,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,hrIJkFqlrDvYArci4txnU7TcZ/aGIkhgW4CsjIvhZD4=
apFEy2v1Cp11xrY8+93ALiMxibD9kdla4EDA1KJdSm0=,【基礎】連加的併式,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,hrIJkFqlrDvYArci4txnU7TcZ/aGIkhgW4CsjIvhZD4=
74uvGh9hBfx+jQdqw9n6TzJCCnr8Q5wDHJqUead5+RU=,【基礎】連減的併式,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,hrIJkFqlrDvYArci4txnU7TcZ/aGIkhgW4CsjIvhZD4=
ZfijBfJmW6aiU5BUvf9fG0QF1XKo3pbEYQ8mYC94hT8=,【基礎】加減併式：有括號的先算,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,hrIJkFqlrDvYArci4txnU7TcZ/aGIkhgW4CsjIvhZD4=
0oPDO0zy0NDr7kBNesLy+ZbkNuyynak8fcfE05h+pwc=,【基礎】加減併式：由左而右計算,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,hrIJkFqlrDvYArci4txnU7TcZ/aGIkhgW4CsjIvhZD4=
OkgyFAFUhVF5xeu+iDV16+5dlnfzfYQJxXIidJx7dzE=,【基礎】兩步驟問題併式：連乘、連除、乘除綜合習題,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,yAzQR919g6E/LcFFdUOg/UDlVYQtRNHvS19zOJV2V/o=
01c8/1Mc1V3LZtYFNre8TolslWChJSztpFHSNAvPlpI=,【基礎】連乘的併式：含有括號,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,yAzQR919g6E/LcFFdUOg/UDlVYQtRNHvS19zOJV2V/o=
TIFqzAEaJ9dzg/KCrFFPRw7C0KKV+dPmxhnS9zS0w+E=,【基礎】連除的兩步驟應用問題,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,yAzQR919g6E/LcFFdUOg/UDlVYQtRNHvS19zOJV2V/o=
0f0BGV01H4RbdYLrd/fZN5enqRjIC7Bkzcoqxzgf0YA=,【基礎】乘除併式：無括號,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,yAzQR919g6E/LcFFdUOg/UDlVYQtRNHvS19zOJV2V/o=
aMxsQs5rzVMmcHNmhMRVuUQ33IDNVp8fYkEdofpRbQI=,【基礎】乘除併式：有括號,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,yAzQR919g6E/LcFFdUOg/UDlVYQtRNHvS19zOJV2V/o=
M4lv3w3T20+Z1YcnIEUe/CKdA/ROAHdY/dmcaJTg0hA=,【基礎】兩步驟問題併式：乘與加減、除與加減綜合習題,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oAbT8WAKnWrrwoY6bzTkg5PYQ8Ii3KbFK9vzvT9I75o=
fBA/dR3/vn5rjFVbPKC9asCyTQ2ieY/iBYb1sqWO2oc=,【基礎】乘與加減的兩步驟問題,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oAbT8WAKnWrrwoY6bzTkg5PYQ8Ii3KbFK9vzvT9I75o=
LVQFQmyO5bd6aJa8iZwe04tHXH1gEaS9K+H5oxb8raU=,【基礎】乘與加減的併式：無括號,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oAbT8WAKnWrrwoY6bzTkg5PYQ8Ii3KbFK9vzvT9I75o=
Um/VucrWT3ytfnYCAhdIJf58cjByGJkSIPJrsdq3Z18=,【基礎】乘與加減的併式：有括號,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oAbT8WAKnWrrwoY6bzTkg5PYQ8Ii3KbFK9vzvT9I75o=
i0Z53FafHddw11FFfQ85WbBa2vs7zK8iD9q9iYEPjJk=,【基礎】除與加減的兩步驟問題,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oAbT8WAKnWrrwoY6bzTkg5PYQ8Ii3KbFK9vzvT9I75o=
voVpsR3NChso9TsHdzn/OkPeLiymYrV3qu8Xe0PUOHg=,【基礎】除與加減的併式：無括號,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oAbT8WAKnWrrwoY6bzTkg5PYQ8Ii3KbFK9vzvT9I75o=
flzEj3Mnu3HFWNtkqEhaKk3L6u5aBJRuGGTTmNC1DR4=,【基礎】除與加減的併式：有括號,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oAbT8WAKnWrrwoY6bzTkg5PYQ8Ii3KbFK9vzvT9I75o=
HbzxHxzxJEcXXmpGxn6HVgsAeH82lubPagM1RpCsh8E=,【基礎】整數的四則運算綜合習題,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=
GKsTLPdjoFT5L8MFLduUaKOBTgtAz0RjoP8E5qYsmF8=,【基礎】乘除的併式,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=
tKPJ+aL8jZdRX7rLqbXvQRirJzPopGK2mxUlBEHW1aA=,【基礎】乘除計算規律,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=
z40HWZR+gOnq+/hu58VFytoZlZYp9/VyuyENVRGJ/OU=,【基礎】連除的併式,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=
PlMIYvc3fCsZ4pYDuAJK1ADA8SMuWLshZIh1bvsDgaY=,【基礎】四則混合計算,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=
cWGivrZDSwN5LiL2G27HYCmyOuUeAhMIchLIraXiV8Q=,【基礎】連除計算規律,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=
375WTBbZdRYv/Jw/rnTv7auOCQAAiNliDREgtraOuH0=,【基礎】三步驟併式應用問題,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=
GcHA5YrQ/VZR/FtKlMu8Hmh6+nnO4U8azAFab0hzJQ4=,【基礎】認識分配律,Exercise,easy,math,elementary,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=
